"codigo_viagem","cnpj.x","placa","autorizacao_viagem","data_inicio_viagem","data_fim_viagem","sentido_linha","latitude","longitude","pdop","numero_imei","in_transbordo","codigo_viagem_transbordo","razao_social","cnpj.y","servico_regular","servico_fretado","servico_semiurbano","data_validade_csv","validade_seguro","ano_fabricacao","categoria_veiculo","nr_assentos_categoria","nr_assentos"
3888174,33613000125,"JDP9300",5591065,2021-09-17 17:30:17,2021-09-17 20:58:13,0,-15.845975,-48.957648,0,"17a2c8aa105924ea","Nao",NA,"SANTA IZABEL TRANSPORTES E TURISMO LTDA","00.033.613/0001-25","Sim","Sim","Nao",2022-05-20,2021-10-03,2012,"Executivo",48,48
3888175,33613000125,"JDP9300",5591065,2021-09-17 06:11:38,2021-09-17 06:18:38,1,-15.827163,-47.899607,0,"17a2c8aa105924ea","Nao",NA,"SANTA IZABEL TRANSPORTES E TURISMO LTDA","00.033.613/0001-25","Sim","Sim","Nao",2022-05-20,2021-10-03,2012,"Executivo",48,48
3888176,33613000125,"JJT6170",5591061,2021-09-17 17:22:50,2021-09-17 20:57:57,0,-15.845884,-48.957482,0,"0fb203815ebba43a","Nao",NA,"SANTA IZABEL TRANSPORTES E TURISMO LTDA","00.033.613/0001-25","Sim","Sim","Nao",2022-07-05,2021-10-03,2012,"Executivo",46,46
3888177,33613000125,"JJT6170",5591061,2021-09-17 06:14:40,2021-09-17 09:54:53,1,-15.827144,-47.8996,0,"0fb203815ebba43a","Nao",NA,"SANTA IZABEL TRANSPORTES E TURISMO LTDA","00.033.613/0001-25","Sim","Sim","Nao",2022-07-05,2021-10-03,2012,"Executivo",46,46
3888178,33613000125,"JJT6180",5591058,2021-09-17 17:47:19,2021-09-17 21:00:47,0,-15.85179,-48.957919,0,"863455040129779","Nao",NA,"SANTA IZABEL TRANSPORTES E TURISMO LTDA","00.033.613/0001-25","Sim","Sim","Nao",2022-07-06,2021-10-03,2012,"Executivo",46,46
3888179,33613000125,"JJT6180",5591058,2021-09-17 06:17:23,2021-09-17 09:56:02,1,-15.825118,-47.903428,0,"863455040129779","Nao",NA,"SANTA IZABEL TRANSPORTES E TURISMO LTDA","00.033.613/0001-25","Sim","Sim","Nao",2022-07-06,2021-10-03,2012,"Executivo",46,46
3888180,33613000125,"OVT0611",5590052,2021-09-18 16:28:57,2021-09-18 17:12:53,0,-17.769277,-48.755353,0,"f6e08159a63a7db4","Nao",NA,"SANTA IZABEL TRANSPORTES E TURISMO LTDA","00.033.613/0001-25","Sim","Sim","Nao",2022-06-21,2021-10-03,2014,"Executivo",48,48
3888181,33613000125,"OVT0611",5590052,2021-09-16 06:38:31,2021-09-16 13:29:22,1,-15.820042,-47.922202,0,"f6e08159a63a7db4","Nao",NA,"SANTA IZABEL TRANSPORTES E TURISMO LTDA","00.033.613/0001-25","Sim","Sim","Nao",2022-06-21,2021-10-03,2014,"Executivo",48,48
3888182,33613000125,"PUH6181",5590699,2021-09-17 05:04:15,2021-09-17 12:42:04,1,-15.787826,-47.972443,0,"354140100896352","Nao",NA,"SANTA IZABEL TRANSPORTES E TURISMO LTDA","00.033.613/0001-25","Sim","Sim","Nao",2022-06-21,2021-10-03,2014,"Executivo",30,30
3888193,1078365000100,"QJW0464",5588147,2021-09-12 17:13:37,2021-09-15 04:15:02,1,-26.9878196716309,-53.534797668457,0,"354169082193058","Nao",NA,"ITAPORA TRANSPORTES COLETIVOS LTDA EPP","01.078.365/0001-00","Nao","Sim","Nao",2021-09-04,2023-08-31,2019,"Executivo",16,16
